Title,Ranking,Genre,Actors,Runtime
Freaks and Geeks,8.9,"['Comedy', 'Drama']","['Linda Cardellini', 'John Francis Daley', 'James Franco']",44
Only Fools and Horses....,8.9,['Comedy'],"['David Jason', 'Nicholas Lyndhurst', 'Roger Lloyd Pack']",95
Rome,8.9,"['Action', 'Drama', 'History', 'Romance', 'War']","['Kevin McKidd', 'Ray Stevenson', 'Polly Walker']",90
Top Gear,8.9,"['Comedy', 'Talk-Show']","['Richard Hammond', 'Jeremy Clarkson', 'James May']",60
Mr. Robot,8.9,"['Crime', 'Drama']","['Rami Malek', 'Christian Slater', 'Portia Doubleday']",49
Shingeki no kyojin,8.9,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Marina Inoue', 'Yuki Kaji', 'Josh Grelle']",24
Gravity Falls,8.9,"['Animation', 'Adventure', 'Comedy', 'Family', 'Mystery']","['Jason Ritter', 'Alex Hirsch', 'Kristen Schaal']",23
Steins;Gate,8.9,"['Animation', 'Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']","['Hiroshi Hamazaki', 'Takuya Sat\xc3\xb4', 'Mamoru Miyano', 'Asami Imai', 'Kana Hanazawa']",24
The Simpsons,8.9,"['Animation', 'Comedy']","['Dan Castellaneta', 'Nancy Cartwright', 'Julie Kavner']",22
Permanent Roommates,8.8,"['Comedy', 'Romance']","['Sameer Saxena', 'Nidhi Singh', 'Sumeet Vyas', 'Deepak Kumar Mishra']",21
Blackadder Goes Forth,8.8,"['Comedy', 'War']","['Rowan Atkinson', 'Tony Robinson', 'Stephen Fry']",175
House M.D.,8.8,"['Drama', 'Mystery']","['Hugh Laurie', 'Omar Epps', 'Robert Sean Leonard']",44
Dexter,8.8,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas']",53
Dragon Ball Z,8.8,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","['Sean Schemmel', 'Christopher Sabat', 'Doc Harris']",24
Ash vs Evil Dead,8.8,"['Action', 'Comedy', 'Fantasy', 'Horror']","['Bruce Campbell', 'Ray Santiago', 'Dana DeLorenzo']",30
Fawlty Towers,8.8,['Comedy'],"['John Cleese', 'Prunella Scales', 'Andrew Sachs']",30
Oz,8.8,"['Crime', 'Drama', 'Thriller']","['Gregory Dark', 'Ernie Hudson', 'J.K. Simmons', 'Lee Tergesen']",55
Wan p&#xEE;su: One Piece,8.8,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']","['Tony Beck', 'Laurent Vernin', 'Mayumi Tanaka']",24
Better Call Saul,8.8,"['Crime', 'Drama']","['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn']",47
Archer,8.8,"['Animation', 'Action', 'Comedy']","['H. Jon Benjamin', 'Judy Greer', 'Amber Nash']",22
Daredevil,8.8,"['Action', 'Crime', 'Drama']","['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll']",54
