country,iso,bird,mammal,fish,plant,total
St. Martin (French part),MAF,0,2,29,3,34
St. Vincent and the Grenadines,VCT,2,2,29,5,38
Sudan,SDN,23,12,22,16,73
Suriname,SUR,9,9,29,26,73
Swaziland,SWZ,13,7,4,11,35
Sweden,SWE,8,1,15,14,38
Switzerland,CHE,6,2,9,10,27
Syrian Arab Republic,SYR,18,15,50,4,87
Tajikistan,TJK,15,6,5,12,38
Tanzania,TZA,47,38,175,602,862
Thailand,THA,51,54,99,150,354
Timor-Leste,TMP,6,4,6,1,17
Togo,TGO,11,11,35,12,69
Tonga,TON,5,2,13,4,24
Trinidad and Tobago,TTO,5,2,35,2,44
Tunisia,TUN,10,13,39,7,69
Turkey,TUR,20,16,131,104,271
Turkmenistan,TKM,20,8,11,4,43
Turks and Caicos Islands,TCA,2,2,29,9,42
Tuvalu,TUV,1,1,11,0,13
Uganda,UGA,25,27,61,52,165
Ukraine,UKR,18,9,24,19,70
United Arab Emirates,ARE,12,7,14,0,33
United Kingdom,GBR,8,5,47,22,82
United States,USA,77,35,247,379,738
Uruguay,URY,22,10,40,22,94
Uzbekistan,UZB,20,9,7,17,53
Vanuatu,VUT,9,7,16,10,42
Venezuela,VEN,44,34,42,77,197
Vietnam,VNM,46,54,76,199,375
Virgin Islands (U.S.),VIR,1,2,27,12,42
West Bank and Gaza,WBG,13,3,2,0,18
Yemen,YEM,18,8,28,162,216
Zambia,ZMB,18,11,20,20,69
Zimbabwe,ZWE,17,10,3,17,47
